STATUS | wrapper  | 2017/07/17 01:28:05 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/07/17 01:28:05 | Java Service Wrapper Community Edition 64-bit 3.5.32
STATUS | wrapper  | 2017/07/17 01:28:05 |   Copyright (C) 1999-2017 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/07/17 01:28:05 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/07/17 01:28:05 | 
STATUS | wrapper  | 2017/07/17 01:28:05 | Launching a JVM...
INFO   | jvm 1    | 2017/07/17 01:28:05 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperSimpleApp Error: Unable to locate the class foo.bar.baz.Main : java.lang.ClassNotFoundException: foo.bar.baz.Main
INFO   | jvm 1    | 2017/07/17 01:28:06 | 
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: Error in WrapperListener.start callback.  java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: java.lang.IllegalArgumentException: can't parse argument number: app_class{/app_method}
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(MessageFormat.java:1429)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.text.MessageFormat.applyPattern(MessageFormat.java:479)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.text.MessageFormat.<init>(MessageFormat.java:362)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.text.MessageFormat.format(MessageFormat.java:840)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperResources.getString(WrapperResources.java:194)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.showUsage(WrapperSimpleApp.java:597)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.start(WrapperSimpleApp.java:441)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at org.tanukisoftware.wrapper.WrapperManager$11.run(WrapperManager.java:4284)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: Caused by: java.lang.NumberFormatException: For input string: "app_class{/app_method}"
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.lang.NumberFormatException.forInputString(NumberFormatException.java:65)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.lang.Integer.parseInt(Integer.java:580)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.lang.Integer.parseInt(Integer.java:615)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	at java.text.MessageFormat.makeFormat(MessageFormat.java:1427)
INFO   | jvm 1    | 2017/07/17 01:28:06 | WrapperManager Error: 	... 7 more
STATUS | wrapper  | 2017/07/17 01:28:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2017/07/17 01:47:05 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/07/17 01:47:05 | Java Service Wrapper Community Edition 64-bit 3.5.32
STATUS | wrapper  | 2017/07/17 01:47:05 |   Copyright (C) 1999-2017 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/07/17 01:47:05 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/07/17 01:47:05 | 
STATUS | wrapper  | 2017/07/17 01:47:05 | Launching a JVM...
INFO   | jvm 1    | 2017/07/17 01:47:05 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/07/17 01:47:06 | WrapperSimpleApp Error: Unable to locate the class Main.jar : java.lang.ClassNotFoundException: Main.jar
INFO   | jvm 1    | 2017/07/17 01:47:06 | 
INFO   | jvm 1    | 2017/07/17 01:47:06 | WrapperSimpleApp Usage:
